N,detuning,g,kappa,Gamma,omega,Lambda,scale,Tmax,intracavity_photon_number,spin_state,spin_command
4,-2.3000000000000345,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0032284383639586,y,""""""
4,-3.7000000000000295,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006043129368206,y,""""""
4,-5.200000000000024,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002244111192956,y,""""""
4,-6.600000000000019,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001151967025003,y,""""""
4,-8.000000000000014,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001431925268657,y,""""""
4,-11.9,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002455558653662,y,""""""
4,-11.500000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003262975406898,y,""""""
4,-4.200000000000028,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004109731191042,y,""""""
4,-7.600000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000101052017213,y,""""""
4,-7.000000000000018,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001010894662313,y,""""""
4,-3.300000000000031,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0008957088525277,y,""""""
4,-2.700000000000033,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0020045898828702,y,""""""
4,-2.8000000000000327,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0017237744395557,y,""""""
4,-3.4000000000000306,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0008044305232906,y,""""""
4,-6.900000000000018,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001038253176793,y,""""""
4,-7.500000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.802748153199268e-05,y,""""""
4,-4.100000000000028,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0004409692681714,y,""""""
4,-11.6,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003093872686434,y,""""""
4,-11.400000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000339026173763,y,""""""
4,-6.700000000000019,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001108969793848,y,""""""
4,-7.300000000000017,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.647798253177354e-05,y,""""""
4,-3.000000000000032,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0012945905352784,y,""""""
4,-3.60000000000003,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006610900685931,y,""""""
4,-3.50000000000003,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0007271160844097,y,""""""
4,-2.9000000000000323,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.001488423361302,y,""""""
4,-7.400000000000016,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.662764664395807e-05,y,""""""
4,-6.8000000000000185,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001070958647656,y,""""""
4,-11.300000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000350303151482,y,""""""
4,-1.300000000000038,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0083607971770815,y,"""qutip.tensor([u,d,u,d])"""
4,-0.7000000000000401,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0082876019721227,y,"""qutip.tensor([u,d,u,d])"""
4,-8.500000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.330843227873543e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.900000000000007,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.459017765648607e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-10.000000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.780481134899811e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-8.600000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.864561994194942e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-0.8000000000000398,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0085987955104071,y,"""qutip.tensor([u,d,u,d])"""
4,-1.4000000000000377,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0072638358768599,y,"""qutip.tensor([u,d,u,d])"""
4,-1.000000000000039,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0095793245825129,y,"""qutip.tensor([u,d,u,d])"""
4,-1.600000000000037,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0053268595923635,y,"""qutip.tensor([u,d,u,d])"""
4,-9.800000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.321498863105329e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-8.400000000000013,3.7,1.0,0.36,10.0,0.1,1.0,60.0,7.051840366414098e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-8.300000000000013,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.951506869390197e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.700000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.167327218714195e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-1.5000000000000373,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0062094665622999,y,"""qutip.tensor([u,d,u,d])"""
4,-0.9000000000000394,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0091124526138067,y,"""qutip.tensor([u,d,u,d])"""
4,-0.5000000000000409,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0087516784378708,y,"""qutip.tensor([u,d,u,d])"""
4,-1.900000000000036,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0038577259606441,y,"""qutip.tensor([u,d,u,d])"""
4,-9.30000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001012015647072,y,"""qutip.tensor([u,d,u,d])"""
4,-8.700000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,8.726722625454588e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-8.800000000000011,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001002496017686,y,"""qutip.tensor([u,d,u,d])"""
4,-9.40000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001006742364848,y,"""qutip.tensor([u,d,u,d])"""
4,-2.0000000000000355,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0036701486151442,y,"""qutip.tensor([u,d,u,d])"""
4,-0.6000000000000405,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0083175560396049,y,"""qutip.tensor([u,d,u,d])"""
4,-1.8000000000000362,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0041715062280636,y,"""qutip.tensor([u,d,u,d])"""
4,-0.4000000000000412,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0096055850306515,y,"""qutip.tensor([u,d,u,d])"""
4,-10.200000000000006,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.740779883720147e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.00000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001250978198758,y,"""qutip.tensor([u,d,u,d])"""
4,-9.600000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,9.77650590573908e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-9.500000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001003354369808,y,"""qutip.tensor([u,d,u,d])"""
4,-8.900000000000011,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001166108949665,y,"""qutip.tensor([u,d,u,d])"""
4,-10.100000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,6.462534033781671e-05,y,"""qutip.tensor([u,d,u,d])"""
4,-0.3000000000000415,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0108272593418007,y,"""qutip.tensor([u,d,u,d])"""
4,-1.7000000000000366,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0046513632390833,y,"""qutip.tensor([u,d,u,d])"""
4,-11.7,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0008887252065084,y,"""qutip.tensor([u,d,u,d])"""
